店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
牛角亀岡店,050-5487-5935,,京都府,亀岡市千代川町小林植田,'21,,,
京のじどり屋 晃（あき） 錦市場すぐ,050-5484-3476,,京都府,京都市中京区錦御幸町上ル船屋町,'398,,,
豆腐料理とおばんざい 京都 豆八 本店,050-5484-8342,,京都府,京都市中京区四条通先斗町上ル西側鍋屋町,'210-4,,,
水ノ雅 KYOTO FUSHIMI,050-5487-7911,,京都府,京都市伏見区京町,'1-244,,,
全席個室 京町しずく京都駅前店,050-5485-6621,,京都府,京都市下京区東洞院通七条下ル二丁目東塩小路町,'730,大和開発京都駅前ビル5F,,
輝庭,050-5486-9423,,京都府,京都市下京区烏丸通四条下ル水銀屋町,'612,四条烏丸ビルB1,,
ごっつ庵,050-5484-4177,,京都府,京都市北区衣笠天神森町,'34,,,
全席個室 楽蔵うたげ京都駅前店,050-5484-1903,,京都府,京都市下京区東洞院通七条下ル二丁目東塩小路町,'730,大和開発京都駅前ビル4F,,
旬肴 ひなか,050-5488-6021,,京都府,京都市中京区先斗町通四条上ル鍋屋町,'214-1,朝日先斗ビル1F,,
全席個室 鮮や一夜京都駅前店,050-5488-0382,,京都府,京都市下京区塩小路通東洞院西入ル東塩小路町,'544-3,藤吉ビル4～5F,,
三条猪熊おおはし,050-5494-7205,,京都府,京都市中京区三条猪熊町,'626-1,,,
日本酒とおばんざいの京酒場 みとき,075-351-7979,,京都府,京都市下京区室町通綾小路西入ル鶏鉾町,'501,,,
かき小屋フィーバー＠三条木屋町店,050-5485-2862,,京都府,京都市中京区河原町通三条上ル恵比須町,'534-31,,,
喰う道 西院店,050-5488-6364,,京都府,京都市右京区西院西三蔵町,'12,西院ビル3F,,
饗応 元,050-5488-4106,,京都府,京都市中京区松竹町,'135-1,,,
鴨料理 鴨ぱと 京都駅,050-5484-7836,,京都府,京都市下京区東塩小路町,'933,,,
京料理 きんなべ,050-5492-6724,,京都府,京都市東山区博多町,'68,,,
京を味わう個室空間 うぐいす,050-5489-4521,,京都府,京都市下京区東塩小路町,'544-2,ONビル 1F,,
とり処 季節料理 京富庵,050-5484-7154,,京都府,京都市中京区油小路通四条上ル藤本町,'560,,,
馳走いなせや,050-5494-4798,,京都府,京都市中京区柳馬場,'3条上ル油屋町93,,,
京都祇園三条 和牛焼肉 徳,050-5492-7387,,京都府,京都市東山区弁財天町,'26,2F,,
鮨・酒・肴 杉玉 京都河原町,050-5492-6605,,京都府,京都市下京区四条通小橋東入橋本町,'103-2,KCS四条橋本町B1F,,
鮨まつもと,050-5486-6638,,京都府,京都市下京区真苧屋町,'99,ブーケガルニ2F,,
個室居酒屋 くいもの屋わん京都西院駅前店,050-5484-1801,,京都府,京都市右京区西院東淳和院町,'1-1,アフレ西院B1,,
けんすい錦錦小路店,050-5487-8638,,京都府,京都市中京区錦小路通高倉東入中魚屋町,'499,2F,,
やきとり 鳥あさ,050-5484-4809,,京都府,京都市下京区四条通烏丸東入ル長刀鉾町,'8,京都三井ビルB1,,
ふぐ・かに・はも 輝月,050-5494-9208,,京都府,京都市下京区東塩小路町,'711-8,ブライトン京都駅前,,
全席個室 鮨と酒日和 ととうお 四条河原町店,050-5485-6482,,京都府,京都市下京区四条小橋東入橋本町,'105,PONTOビル2F,,
よってこ屋,050-5485-0265,,京都府,京田辺市田辺中央,'3-1-1,アメニティセブン1F,,
