店舗名,電話番号,都道府県,市区町村,番地,建物名,URL,SSL
炭火炉端焼 龍馬光路,050-5486-7472,京都府,京都市右京区西院三蔵町,'32-2,ジョイテル西院1F,https://kcw9103.gorp.jp/,True
全席個室 鮮や一夜 ラクエ四条烏丸店,050-5486-3530,京都府,京都市下京区四条通室町東入函谷鉾町,'101,LAQUE（ラクエ）四条烏丸B1,https://senyaichiya.dkdining.com/shijokarasuma/,True
全席個室 楽蔵うたげ 京都駅前店,050-5484-1903,京都府,京都市下京区東洞院通七条下ル二丁目東塩小路町,'730,大和開発京都駅前ビル4F,https://rakuzo.dkdining.com/kyoto/,True
焼肉じゅうじゅうカルビ 桂南店,050-5486-5752,京都府,京都市南区久世上久世町,'924-1,,https://ke2g609.gorp.jp/,True
山内農場 京都中央口駅前店,075-365-3288,京都府,京都市下京区東洞院通塩小路下ル東塩小路町,'849,セレマビル4F,https://kaed348.gorp.jp/,True
Vietnam ＆ Asian food SAIGON★SAIGON 龍馬,050-5484-0669,京都府,京都市中京区伊勢屋町,'345,,https://kcw9106.gorp.jp/,True
全席個室 京町しずく 京都駅前店,050-5485-6621,京都府,京都市下京区東洞院通七条下ル二丁目東塩小路町,'730,大和開発京都駅前ビル5F,https://kyomachi.dkdining.com/kyoto/,True
おばんざいの店 京都ことこと 烏丸御池店,050-5487-0322,京都府,京都市中京区両替町通姉小路下ル柿本町,'392,,https://k170066.gorp.jp/,True
かき小屋フィーバー ＠三条木屋町店,050-5485-2862,京都府,京都市中京区河原町通三条上ル恵比須町,'534-31,,https://kcbc201.gorp.jp/,True
貝と白ワインのバル KAKIMARU 七条店,050-5485-4497,京都府,京都市下京区福本町,'404-10,,https://k763312.gorp.jp/,True
宝堂 ～KARASUMA～,050-5486-9759,京都府,京都市下京区綾小路通新町東入ル四条町,'369-4,,https://k763312.gorp.jp/,True
寿司・焼鳥食べ放題 和牛と海鮮 完全個室 祇園商店 京都本店,050-5488-4547,京都府,京都市下京区真町-,'97,6F,https://keg7100.gorp.jp/,True
日本酒とおばんざいの京酒場 みとき,075-351-7979,京都府,京都市下京区室町通綾小路西入ル鶏鉾町,'501,,https://kcjd900.gorp.jp/,True
京の焼肉処 蓮蔵,050-5488-3638,京都府,京都市中京区堺町通三条大阪材木町,'690-1,,https://keg0600.gorp.jp/,True
藁焼きと水炊き 葵,050-5488-7681,京都府,京都市中京区河原町通四条上ル松本町,'166,,https://kdpe200.gorp.jp/,True
ピッツェリア バール レ・ナポリ 京都錦,050-5486-7176,京都府,京都市中京区錦小路東洞院東入西魚屋町,'604,ファーストコート四条錦2F,https://kc3h204.gorp.jp/,True
料理と自然派ワイン raclette loom【ラクレットルーム】,050-5486-5043,京都府,京都市下京区寺町通松原下ル植松町,'703-3,,https://kedj400.gorp.jp/,True
